"week","cases","cumulative"
"2021-39",1,1
"2021-40",0,1
"2021-41",0,1
"2021-42",1,2
"2021-43",1,3
"2021-44",0,3
"2021-45",1,4
"2021-46",0,4
"2021-47",1,5
"2021-48",4,9
"2021-49",0,9
"2021-50",2,11
"2021-51",2,13
"2021-52",4,17
"2022-01",8,25
"2022-02",9,34
"2022-03",9,43
"2022-04",10,53
"2022-05",10,63
"2022-06",8,71
"2022-07",12,83
"2022-08",7,90
"2022-09",19,109
"2022-10",14,123
"2022-11",17,140
"2022-12",36,176
"2022-13",32,208
"2022-14",29,237
"2022-15",36,273
"2022-16",35,308
"2022-17",39,347
"2022-18",31,378
"2022-19",21,399
"2022-20",24,423
"2022-21",21,444
"2022-22",9,453
"2022-23",18,471
"2022-24",12,483
"2022-25",10,493
"2022-26",13,506
"2022-27",10,516
"2022-28",7,523
"2022-29",6,529
"2022-30",2,531
"2022-31",6,537
"2022-32",6,543
"2022-33",3,546
"2022-34",3,549
"2022-35",1,550
"2022-36",2,552
"2022-37",1,553
"2022-38",1,554
"2022-39",0,554
"2022-40",3,557
"2022-41",1,558
"2022-42",2,560
"2022-43",0,560
"2022-44",0,560
"2022-45",1,561
"2022-46",1,562
